Profile Name,DayOfWeek,Hour,Views
Sil,Saturday,3,19
Sil,Saturday,4,2
Sil,Saturday,5,1
Sil,Saturday,14,1
Sil,Saturday,16,1
Sil,Saturday,17,2
Sil,Saturday,18,10
Sil,Saturday,19,8
Sil,Saturday,20,2
Sil,Saturday,21,17
Sil,Saturday,22,12
Sil,Saturday,23,25
Sil,Sunday,0,38
Sil,Sunday,1,29
Sil,Sunday,2,25
Sil,Sunday,3,18
Sil,Sunday,4,11
Sil,Sunday,5,6
Sil,Sunday,6,1
Sil,Sunday,7,2
Sil,Sunday,8,1
Sil,Sunday,9,2
Sil,Sunday,10,1
Sil,Sunday,11,2
Sil,Sunday,12,2
Sil,Sunday,13,2
Sil,Sunday,14,1
Sil,Sunday,15,3
Sil,Sunday,16,3
Sil,Sunday,17,6
Sil,Sunday,18,8
Sil,Sunday,19,18
Sil,Sunday,20,13
Sil,Sunday,21,9
Sil,Sunday,22,12
Sil,Sunday,23,25
Uma,Monday,0,143
Uma,Monday,1,117
Uma,Monday,2,76
Uma,Monday,3,39
Uma,Monday,4,17
Uma,Monday,5,2
Uma,Monday,6,2
Uma,Monday,7,1
Uma,Monday,8,1
Uma,Monday,9,3
Uma,Monday,10,13
Uma,Monday,11,1
Uma,Monday,12,16
Uma,Monday,13,42
Uma,Monday,14,64
Uma,Monday,15,81
Uma,Monday,16,92
Uma,Monday,17,65
Uma,Monday,18,64
Uma,Monday,19,94
Uma,Monday,20,119
Uma,Monday,21,69
Uma,Monday,22,78
Uma,Monday,23,110
Uma,Tuesday,0,130
Uma,Tuesday,1,157
Uma,Tuesday,2,73
Uma,Tuesday,3,33
Uma,Tuesday,4,11
Uma,Tuesday,9,2
Uma,Tuesday,11,3
Uma,Tuesday,12,9
Uma,Tuesday,13,33
Uma,Tuesday,14,45
Uma,Tuesday,15,54
Uma,Tuesday,16,132
Uma,Tuesday,17,108
Uma,Tuesday,18,90
Uma,Tuesday,19,96
Uma,Tuesday,20,62
Uma,Tuesday,21,55
Uma,Tuesday,22,75
Uma,Tuesday,23,125
Uma,Wednesday,0,120
Uma,Wednesday,1,137
Uma,Wednesday,2,76
Uma,Wednesday,3,25
Uma,Wednesday,4,3
Uma,Wednesday,5,2
Uma,Wednesday,6,1
Uma,Wednesday,7,2
Uma,Wednesday,10,13
Uma,Wednesday,11,9
Uma,Wednesday,12,4
Uma,Wednesday,13,43
Uma,Wednesday,14,35
Uma,Wednesday,15,50
Uma,Wednesday,16,83
Uma,Wednesday,17,60
Uma,Wednesday,18,42
Uma,Wednesday,19,59
Uma,Wednesday,20,95
Uma,Wednesday,21,81
Uma,Wednesday,22,107
Uma,Wednesday,23,113
Uma,Thursday,0,119
Uma,Thursday,1,121
Uma,Thursday,2,64
Uma,Thursday,3,33
Uma,Thursday,4,13
Uma,Thursday,5,2
Uma,Thursday,7,1
Uma,Thursday,10,4
Uma,Thursday,11,9
Uma,Thursday,12,8
Uma,Thursday,13,26
Uma,Thursday,14,38
Uma,Thursday,15,45
Uma,Thursday,16,95
Uma,Thursday,17,137
Uma,Thursday,18,90
Uma,Thursday,19,104
Uma,Thursday,20,68
Uma,Thursday,21,64
Uma,Thursday,22,80
Uma,Thursday,23,120
Uma,Friday,0,130
Uma,Friday,1,116
Uma,Friday,2,89
Uma,Friday,3,38
Uma,Friday,4,15
Uma,Friday,5,2
Uma,Friday,7,1
Uma,Friday,8,3
Uma,Friday,10,10
Uma,Friday,11,5
Uma,Friday,12,17
Uma,Friday,13,37
Uma,Friday,14,38
Uma,Friday,15,60
Uma,Friday,16,71
Uma,Friday,17,64
Uma,Friday,18,55
Uma,Friday,19,59
Uma,Friday,20,111
Uma,Friday,21,88
Uma,Friday,22,112
Uma,Friday,23,119
Uma,Saturday,0,122
Uma,Saturday,1,92
Uma,Saturday,2,66
Uma,Saturday,3,81
Uma,Saturday,4,42
Uma,Saturday,5,21
Uma,Saturday,6,17
Uma,Saturday,7,6
Uma,Saturday,8,5
Uma,Saturday,10,1
Uma,Saturday,11,9
Uma,Saturday,12,18
Uma,Saturday,13,78
Uma,Saturday,14,103
Uma,Saturday,15,117
Uma,Saturday,16,100
Uma,Saturday,17,78
Uma,Saturday,18,65
Uma,Saturday,19,117
Uma,Saturday,20,69
Uma,Saturday,21,89
Uma,Saturday,22,123
Uma,Saturday,23,130
Uma,Sunday,0,101
Uma,Sunday,1,78
Uma,Sunday,2,81
Uma,Sunday,3,75
Uma,Sunday,4,50
Uma,Sunday,5,32
Uma,Sunday,6,13
Uma,Sunday,7,18
Uma,Sunday,8,6
Uma,Sunday,11,5
Uma,Sunday,12,17
Uma,Sunday,13,58
Uma,Sunday,14,124
Uma,Sunday,15,114
Uma,Sunday,16,97
Uma,Sunday,17,82
Uma,Sunday,18,85
Uma,Sunday,19,118
Uma,Sunday,20,82
Uma,Sunday,21,99
Uma,Sunday,22,141
Uma,Sunday,23,138
